Ticker,Company Name,Market Cap (USD),P/E Ratio,Dividend Yield,ROE,Debt,Revenue Growth,Sector,Industry,Currency
AAPL,Apple Inc.,4508506652672.0,35.427177,0.35,1.4875101,84343996416.0,0.164,Technology,Consumer Electronics,USD
NVDA,NVIDIA Corporation,5374155423744.0,33.97856,0.47,1.14288,12814000128.0,0.852,Technology,Semiconductors,USD
MSFT,Microsoft Corporation,3644234924032.0,26.077045,0.78,0.34039003,128812998656.0,0.177,Technology,Software - Infrastructure,USD
AMZN,"Amazon.com, Inc.",2927297822720.0,21.833467,,0.30558002,251635007488.0,0.196,Consumer Cyclical,Internet Retail,USD
GOOGL,Alphabet Inc.,4417513324544.0,18.114594,0.25,0.48676,120790999040.0,0.242,Communication Services,Internet Content & Information,USD
GOOG,Alphabet Inc.,4387673997312.0,18.001259,0.25,0.48676,120790999040.0,0.242,Communication Services,Internet Content & Information,USD
META,"Meta Platforms, Inc.",1486164197376.0,21.956343,0.38,0.29848,112317997056.0,0.28,Communication Services,Internet Content & Information,USD
TSLA,"Tesla, Inc.",1272270946304.0,298.26926,,0.046669997,16080000000.0,0.255,Consumer Cyclical,Auto Manufacturers,USD
AVGO,Broadcom Inc.,2007651319808.0,69.86589,0.66,0.37280998,64907001856.0,0.479,Technology,Semiconductors,USD
BRK-B,Berkshire Hathaway Inc.,1114640351232.0,15.3944,,0.10499,128885997568.0,0.044,Financial Services,Insurance - Diversified,USD
WMT,Walmart Inc.,886808510464.0,39.237675,0.89,0.24132,75545001984.0,0.073,Consumer Defensive,Discount Stores,USD
LLY,Eli Lilly and Company,1032288731136.0,41.166782,0.62,1.07459,43370000384.0,0.555,Healthcare,Drug Manufacturers - General,USD
JPM,JPMorgan Chase & Co.,956898869248.0,15.416702,1.68,0.17789,1333832974336.0,0.304,Financial Services,Banks - Diversified,USD
V,Visa Inc.,688034938880.0,31.36298,0.73,0.6119,23857999872.0,0.144,Financial Services,Credit Services,USD
MA,Mastercard Incorporated,500000194560.0,31.534254,0.61,2.41202,24643000320.0,0.141,Financial Services,Credit Services,USD
ORCL,Oracle Corporation,416976961536.0,24.830189,1.37,0.53376,167431995392.0,0.206,Technology,Software - Infrastructure,USD
XOM,ExxonMobil Holdings Corporation,629824684032.0,25.667229,2.66,0.12584,42368000000.0,0.441,Energy,Oil & Gas Integrated,USD
UNH,UnitedHealth Group Incorporated,376725536768.0,31.213694,2.28,0.14152999,73328001024.0,0.004,Healthcare,Healthcare Plans,USD
COST,Costco Wholesale Corporation,416772521984.0,47.22513,0.62,0.29152,10227999744.0,0.215,Consumer Defensive,Discount Stores,USD
PG,The Procter & Gamble Company,341605482496.0,22.16012,2.94,0.30290002,34137999360.0,0.015,Consumer Defensive,Household & Personal Products,USD
HD,"The Home Depot, Inc.",350436655104.0,24.3724,2.74,1.2838,63730999296.0,0.048,Consumer Cyclical,Home Improvement Retail,USD
NFLX,"Netflix, Inc.",306694979584.0,23.16195,,0.49541,16654660608.0,0.134,Communication Services,Entertainment,USD
JNJ,Johnson & Johnson,621946601472.0,29.939674,2.1,0.25742,49036001280.0,0.066,Healthcare,Drug Manufacturers - General,USD
BAC,Bank of America Corporation,443515076608.0,14.647806,2.07,0.111990005,788985020416.0,0.168,Financial Services,Banks - Diversified,USD
CRM,"Salesforce, Inc.",157604265984.0,22.068233,0.95,0.16908,42547998720.0,0.133,Technology,Software - Application,USD
ABBV,AbbVie Inc.,432652189696.0,70.76156,2.76,,72912003072.0,0.102,Healthcare,Drug Manufacturers - General,USD
KO,The Coca-Cola Company,373332148224.0,26.29394,2.44,0.42054,44260999168.0,0.067,Consumer Defensive,Beverages - Non-Alcoholic,USD
